2025-5-5 14:9:54,72.1,44,PASS
2025-5-5 14:10:54,72.1,44,PASS
2025-5-5 14:11:54,72.3,44,PASS
2025-5-5 14:12:54,72.3,44,PASS
2025-5-5 14:13:54,72.3,43,PASS
2025-5-5 14:14:54,72.5,43,PASS
2025-5-5 14:15:54,73.0,43,PASS
2025-5-5 14:16:54,73.6,43,PASS
2025-5-5 14:17:54,73.9,43,PASS
2025-5-5 14:19:38,74.3,48,PASS
2025-5-5 14:20:38,74.8,47,PASS
2025-5-5 14:21:38,75.2,51,PASS
2025-5-5 14:22:38,76.1,45,PASS
2025-5-5 14:23:38,76.5,42,PASS
2025-5-5 14:24:38,76.1,40,PASS
2025-5-5 14:25:38,75.6,41,PASS
2025-5-5 14:26:38,75.2,41,PASS
2025-5-5 14:27:38,74.8,41,PASS
2025-5-5 14:28:38,74.7,42,PASS
2025-5-5 14:29:38,74.5,42,PASS
2025-5-5 14:30:38,74.3,42,PASS
2025-5-5 14:31:38,74.3,42,PASS
2025-5-5 14:32:38,74.3,42,PASS
2025-5-5 14:33:38,74.3,42,PASS
2025-5-5 14:34:38,74.3,43,PASS
2025-5-5 14:35:38,74.3,42,PASS
2025-5-5 14:36:38,74.1,42,PASS
2025-5-5 14:37:38,73.9,42,PASS
2025-5-5 14:38:38,73.9,42,PASS
2025-5-5 14:39:38,73.9,42,PASS
2025-5-5 14:40:38,73.9,42,PASS
2025-5-5 14:41:38,73.9,42,PASS
2025-5-5 14:42:38,73.9,42,PASS
2025-5-5 14:43:38,74.1,42,PASS
2025-5-5 14:44:38,74.1,42,PASS
2025-5-5 14:45:38,74.1,42,PASS
2025-5-5 14:46:38,74.1,42,PASS
2025-5-5 14:47:38,74.3,42,PASS
2025-5-5 14:48:38,74.3,42,PASS
2025-5-5 14:49:38,74.5,42,PASS
2025-5-5 14:50:38,74.5,43,PASS
2025-5-5 14:51:38,74.5,42,PASS
2025-5-5 14:52:38,74.3,41,PASS
2025-5-5 14:53:38,74.3,41,PASS
2025-5-5 14:54:38,74.1,41,PASS
2025-5-5 14:55:38,74.1,41,PASS
2025-5-5 14:56:38,74.3,41,PASS
2025-5-5 14:57:38,74.3,42,PASS
2025-5-5 14:58:38,74.3,42,PASS
